          j,   x
    0.00000,   1.00231
    1.00000,   1.03648
    2.00000,   1.03925
    3.00000,   1.05627
    4.00000,   1.07973
    5.00000,   1.08098
    6.00000,   1.08127
    7.00000,   1.08380
    8.00000,   1.08822
    9.00000,   1.09263
   10.00000,   1.09889
   11.00000,   1.11852
   12.00000,   1.11940
   13.00000,   1.12167
   14.00000,   1.12364
   15.00000,   1.13250
   16.00000,   1.13361
   17.00000,   1.13528
   18.00000,   1.15940
   19.00000,   1.16675
   20.00000,   1.17890
   21.00000,   1.18071
   22.00000,   1.18201
   23.00000,   1.18286
   24.00000,   1.19328
   25.00000,   1.20324
   26.00000,   1.20404
   27.00000,   1.21086
   28.00000,   1.23217
   29.00000,   1.24012
   30.00000,   1.25583
   31.00000,   1.28962
   32.00000,   1.29210
   33.00000,   1.30755
   34.00000,   1.30880
   35.00000,   1.32353
   36.00000,   1.34307
   37.00000,   1.34660
   38.00000,   1.35061
   39.00000,   1.35287
   40.00000,   1.35759
   41.00000,   1.36228
   42.00000,   1.36726
   43.00000,   1.39677
   44.00000,   1.41279
   45.00000,   1.42084
   46.00000,   1.42511
   47.00000,   1.42638
   48.00000,   1.42666
   49.00000,   1.45902
   50.00000,   1.51746
   51.00000,   1.52118
   52.00000,   1.54480
   53.00000,   1.56667
   54.00000,   1.56888
   55.00000,   1.56996
   56.00000,   1.57413
   57.00000,   1.63771
   58.00000,   1.65707
   59.00000,   1.67124
   60.00000,   1.73809
   61.00000,   1.74349
   62.00000,   1.75319
   63.00000,   1.78775
   64.00000,   1.82119
   65.00000,   1.83143
   66.00000,   1.92651
   67.00000,   1.95623
   68.00000,   1.97600
   69.00000,   1.97988
   70.00000,   2.04113
   71.00000,   2.05916
   72.00000,   2.07765
   73.00000,   2.10602
   74.00000,   2.17512
   75.00000,   2.23607
   76.00000,   2.32682
   77.00000,   2.38599
   78.00000,   2.45084
   79.00000,   2.68038
   80.00000,   2.76220
   81.00000,   2.82073
   82.00000,   2.92247
   83.00000,   3.04268
   84.00000,   3.34112
   85.00000,   3.58273
   86.00000,   3.92282
   87.00000,   3.95668
   88.00000,   4.06783
   89.00000,   4.10565
   90.00000,   4.16345
   91.00000,   4.23377
   92.00000,   4.31034
   93.00000,   4.34351
   94.00000,   4.55145
   95.00000,   4.91986
   96.00000,   6.74752
   97.00000,   8.06483
   98.00000,  24.66832
   99.00000,  60.51779
